Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,Hausnummer,PLZ,Stadt,Bundesland,Telefon,Mobil,Telefax,EMail,Newsletter,Eintragsdatum
30,Frau,,Leah,Schnier,,Oberhofer Straße,13,25582,Kaaks,Schleswig-Holstein,04821/91205617,,,leah-schnier@bestmail.none,ja,28.08.1968
31,Frau,,Vera,Burkhart,15.12.2001,Winkel,164,74869,Schwarzach,Baden-Württemberg,06262/11548154,0156/3870659,,v01@web.none,,17.06.2013
32,Herr,,Lennart,Bretz,05.07.1994,Lange Hecke,34,91717,Wassertrüdingen,Bayern,09832/60655815,0151/6282774,09832/94430897,lbretz@bestmail.none,,29.03.2005
33,Herr,,Gebhard,Petereit,20.12.1977,Im Ruhrfeld,156,56291,Lingerhahn,Rheinland-Pfalz,06747/27516823,0174/5445578,,gebhard_petereit@justmail.none,ja,20.10.1982
34,Herr,,Godo,Kubis,24.09.1907,Auf der Haide,194,24211,Pohnsdorf,Schleswig-Holstein,04342/73870236,0150/5914977,,godokubis@quickmail.none,,03.06.2013
35,Herr,,Jonas,Schicht,11.11.1907,August-Bungert-Allee,168,55546,Volxheim,Rheinland-Pfalz,,0172/7682723,,,ja,26.02.1995
36,Herr,,Augustin,Ammermann,,Im Bitzengarten,85,28309,Bremen,Bremen,0421/61636865,0152/5098493,,augustinammermann@xyz.none,,22.08.2005
37,k.A.,,Hildrun,Kraut,,Frankenring,87,34305,Niedenstein,Hessen,05624/3315621,0161/3140726,,h_kraut@bestmail.none,nein,05.07.1990
38,Herr,,Manfried,Richards,28.01.1958,Gertrudisstraße,39,54597,Balesfeld,Rheinland-Pfalz,06553/74251128,0160/2748399,,manfried.richards@mymail.none,,10.05.2011
39,Frau,,Edda,Schnelle,,Heyenfeldweg,46,34308,Bad Emstal,Hessen,05624/97280674,0167/4296779,05624/31212138,eddaschnelle@web.none,ja,11.04.1975
40,Frau,,Frauke,Focken,,Sonnenau,186,76889,Kapsweyer,Rheinland-Pfalz,06343/33316414,,,,,17.05.1995
41,Herr,,Kaspar,Breitner,,Braunschweig,176,57629,Merkelbach,Rheinland-Pfalz,,0177/9832150,,,ja,24.09.2018
42,Herr,,Frohwald,Sölter,,Hamalandstraße,40,84094,Elsendorf,Bayern,08753/85719857,,,fsoelter@ultramail.none,ja,15.02.2007
43,Herr,,Gunnar,Gahr,,Johannes-Haack-Straße,165,28359,Bremen,Bremen,0421/75223097,0179/5127333,,gunnargahr@bestmail.none,,06.09.1966
44,Frau,,Christel,Förg,,Kindelsbergstraße,32,27628,Uthlede,Niedersachsen,04746/4177841,,,c1955@email.none,ja,16.05.2007
45,Frau,,Ramona,Plein,04.10.2019,Am Grünewald,140,24813,Schülp,Schleswig-Holstein,04331/84081779,0175/9514046,,ramona-19@anymail.none,ja,15.03.2022
46,Herr,,Mohammed,Burr,,Inselweg,116,76879,Hochstadt,Rheinland-Pfalz,06348/62187792,0178/8739951,,mohammedburr@company.none,,27.02.1995
47,Herr,,Mischel,Eisemann,,Schmerbachstraße,121,47198,Homberg,Nordrhein-Westfalen,02066/40246387,0157/9595748,,mischel.eisemann@justmail.none,,25.12.1971
48,Frau,,Katherina,Klee,10.10.1950,Ernst-Tertilt-Straße,169,79297,Winden,Baden-Württemberg,07682/81079764,0174/2466911,,k50@retromail.none,,27.12.1970
49,Herr,,Frieder,Birr,,Zum Hahn,172,83236,Übersee,Bayern,08642/27555881,0178/2970102,,,nein,07.09.1991
50,Frau,,Holle,Kleiber,,Hanseneck,22,73773,Aichwald,Baden-Württemberg,0711/73198263,0160/6933043,,,,19.03.2019
51,Frau,,Aline,Jülich,,Kapellener Straße,109,56370,Ebertshausen,Rheinland-Pfalz,06486/54975576,,,aline.juelich@goggle-mail.none,ja,30.06.1942
52,Herr,,Mike,Morales,10.06.1910,Gustav-Hertz-Straße,86,26203,Wardenburg,Niedersachsen,04407/55603299,0174/6333204,04407/88469339,m.10@bestmail.none,,06.08.2014
53,Herr,,Joschka,Lazar,29.04.1908,Dreyer Straße,176,55758,Oberreidenbach,Rheinland-Pfalz,06785/11532489,0157/2639028,,joschkalazar@spam-mail.none,,25.04.2016
54,Herr,,Wolfried,Rodewald,20.05.1997,Schnittlinger Straße,88,73734,Esslingen am Neckar,Baden-Württemberg,0711/57477842,0151/7215414,,wolfried-rodewald@domain.none,,06.09.1998
55,Frau,,Theresa,Davids,,Malbergstraße,186,91608,Geslau,Bayern,09867/48595180,0151/9881808,,theresadavids@email.none,,25.06.2022
56,Frau,,Resel,Selbach,31.05.1987,Lerschstraße,199,55767,Kronweiler,Rheinland-Pfalz,06787/62676524,,,r.selbach@kitty.none,,22.04.2001
57,k.A.,,Carola,Remmers,,Chlodwigstraße,110,54441,Trassem,Rheinland-Pfalz,06581/48633366,0163/2350293,,cremmers@domain.none,ja,29.09.2007
58,Frau,,Ilsetraut,Brod,,Anna-Paul-Straße,14,54292,Trier,Rheinland-Pfalz,0651/1450470,0174/9197260,,i-brod@anymail.none,,05.10.2012
59,Frau,,Nordrun,Frenkel,,Brinkenstraße,4,24395,Stangheck,Schleswig-Holstein,04643/13926060,0163/3600711,,,ja,09.11.2003
60,Frau,,Patricia,Coskun,,Handelsstraße,80,55595,Hüffelsheim,Rheinland-Pfalz,0671/70272594,0150/3551374,,patricia_coskun@retromail.none,ja,22.05.1926
61,Herr,,Irmfried,Föll,,Am Brasberg,35,39307,Genthin,Sachsen-Anhalt,,0167/7168273,,irmfried.foell@inter-mail.none,,03.01.2003
62,Frau,,Lili,Holzmann,28.06.2004,Max-Liebermann-Straße,84,27616,Lunestedt,Niedersachsen,04747/9608628,0152/6756060,,lili_holzmann@anymail.none,,01.06.2017
63,Herr,Prof. Dr. Dr.,Wilmar,Kampe,,Richtweg,131,49740,Haselünne,Niedersachsen,05961/4908451,0164/7630787,,wilmarkampe@domain.none,,21.10.2009
64,k.A.,,Christsolde,Herz,,Dauersberger Straße,16,73092,Heiningen,Baden-Württemberg,07161/13966942,0173/4245819,07161/30857522,christsolde.herz@goggle-mail.none,,29.06.2007
65,Herr,,Kord,Kubis,,Schwalbensteg,37,54531,Meerfeld,Rheinland-Pfalz,06572/56384758,,,,,23.12.2012
66,Herr,,Gottwald,Stiehl,,Steinbrink,59,27339,Riede,Niedersachsen,,,04294/50828330,,nein,25.01.2015
67,Frau,Dr.,Evalinde,Demuth,,Vor der Kirchwies,104,45476,Mülheim an der Ruhr,Nordrhein-Westfalen,0208/84231733,0176/9022911,,evalinde.demuth@trashmail.none,,13.12.2019
68,Herr,,Jamie,Heyer,,Uesser Weg,153,32278,Kirchlengern,Nordrhein-Westfalen,05223/35640470,,,jamie-heyer@retromail.none,ja,20.12.1985
69,k.A.,,Annalena,Hit,,Drachterstraße,51,55232,Alzey,Rheinland-Pfalz,,0178/5745863,,annalenahit@funmail.none,,19.02.2005
70,Frau,,Ortrud,Widmann,29.01.1938,Thilhove,80,53518,Kottenborn,Rheinland-Pfalz,02691/35155255,0161/7522553,,ortrud_widmann@bestmail.none,nein,29.10.2021
71,k.A.,,Ingolf,Scharff,,Am Ahlmannkai,108,55471,Neuerkirch,Rheinland-Pfalz,06761/42285531,0172/6038037,,,,12.05.2016
72,Herr,,Sigurd,Mindermann,,Auf der Hardt,12,25788,Hollingstedt,Schleswig-Holstein,04836/89482722,0157/1503662,,s94@mymail.none,,28.05.2020
73,k.A.,,Lebrecht,Rotermund,20.01.1970,Uelzener Straße,186,95356,Grafengehaig,Bayern,09255/74284737,0173/4094263,,l.70@anymail.none,,10.03.1991
74,Frau,,Ortraud,Risch,,Rat-Jung-Straße,89,34233,Fuldatal,Hessen,05607/64816075,0179/2098717,,ortraudrisch@kitty.none,,12.02.1971
75,Frau,,Finja,Tobias,11.10.1986,Grimmstraße,125,31702,Lüdersfeld,Niedersachsen,05725/47838257,0164/9378420,,finja_tobias@live-mail.none,ja,30.06.2016
76,Herr,,Lion,Berger,,Walramstraße,136,97078,Würzburg,Bayern,0931/11411319,,,lion.berger@private.none,,30.04.1997
77,Frau,,Gundula,Helmers,,Herchenrath,2,93453,Neukirchen beim Heiligen Blut,Bayern,09947/5160255,,,gundula.1907@company.none,,20.01.1979
78,Herr,,Holm,Heumann,,Johannes-Flintrop-Straße,115,76833,Knöringen,Rheinland-Pfalz,06341/96114323,0162/8388488,,holm2002@retromail.none,ja,25.01.2017
79,Herr,,Rimbert,Wood,04.07.1904,Broicher Weg,92,41061,Mönchengladbach,Nordrhein-Westfalen,,0171/8907781,,r_1904@company.none,,16.12.2005
80,Herr,,Kasimir,Heßler,,Ferndorfer Straße,86,55444,Eckenroth,Rheinland-Pfalz,06724/67509752,0150/8922338,,,,04.08.2013
81,Herr,,Lucas,Kristen,19.02.1919,Rheinweg,15,26474,Spiekeroog,Niedersachsen,04976/2443007,,,l.1919@kitty.none,ja,24.12.1975
82,Frau,,Johannette,Meusel,,Zum Erlenborn,1,58553,Halver,Nordrhein-Westfalen,,,,j.meusel@live-mail.none,ja,02.12.1989
83,Herr,,Heiko,Voigt,,Weißdornweg,161,64331,Weiterstadt,Hessen,06150/4435588,0177/2233090,06150/96133128,heikovoigt@mymail.none,ja,15.06.2019
84,Herr,,Warnfried,Paetsch,11.10.1931,Oldenkotter Straße,72 b,91286,Obertrubach,Bayern,09245/93170411,0177/1635335,,warnfried-paetsch@anymail.none,ja,25.09.2021
85,Herr,,Fynn,Krauss,,Seilerbahn,108,03044,Cottbus,Brandenburg,0355/85326890,0169/2261248,,,ja,15.10.1996
86,Frau,,Adolfine,Helmes,,Fraukircher Weg,119,67744,Cronenberg,Rheinland-Pfalz,06382/14851616,0155/9193874,,a.helmes@quickmail.none,,30.01.1996
87,Frau,,Dinah,Klassen,,Frankenweg,148,54675,Utscheid,Rheinland-Pfalz,06564/80663218,0161/6386700,,dklassen@bestmail.none,,20.05.2011
88,Herr,,Tomas,Kohlmeyer,,Karlsruher Straße,165,45141,Essen,Nordrhein-Westfalen,0201/8857827,0160/4415269,,t-kohlmeyer@retromail.none,ja,27.12.1934
89,k.A.,,Thielo,Frischmuth,,Am Holderbusch,105 a,84543,Winhöring,Bayern,08671/17340304,0154/6620546,,t-frischmuth@company.none,,19.07.2008
90,Frau,,Silvana,Winkler,,Torstraße,61,24977,Westerholz,Schleswig-Holstein,04636/2191732,0154/5857744,,silvana_winkler@bestmail.none,ja,01.09.1997
91,Herr,,Ferdinand,Biskup,,Schirmerstraße,3,71069,Sindelfingen,Baden-Württemberg,,0158/8026011,,ferdinand_biskup@mymail.none,,13.06.1994
92,Herr,,Gerd,Daubner,,Wichernstraße,72,39606,Düsedau,Sachsen-Anhalt,03937/28540455,0171/9033357,,,nein,28.10.2015
93,Herr,,Romanus,Helling,,Ootmarsumer Weg,115,72762,Reutlingen,Baden-Württemberg,,,07121/18871095,romanus.1985@retromail.none,ja,11.09.1995
94,Herr,,Steffan,Vos,,Oldenburger Straße,129,37297,Berkatal,Hessen,05657/31204552,,,s-vos@company.none,nein,23.11.2016
95,Herr,,Curd,Sieler,16.01.1907,Spreewaldstraße,91,56337,Arzbach,Rheinland-Pfalz,02603/90770440,0171/3993302,,csieler@spam-mail.none,,02.09.1908
96,Herr,,Horst,Hellmann,,Zur Loev,183,56584,Thalhausen,Rheinland-Pfalz,02634/24332021,0153/7154906,,horsthellmann@domain.none,ja,06.06.1999
97,Frau,Dr.,Celine,Mauermann,,Auf dem Steinbüchel,81,57078,Siegen,Nordrhein-Westfalen,0271/40393673,0171/9256210,,celinemauermann@net-mail.none,ja,03.10.1939
98,Frau,,Leonie,Moll,,Zugspitzstraße,89,66978,Donsieders,Rheinland-Pfalz,06331/22359288,0171/2217655,,lmoll@email.none,,23.11.2005
99,Frau,,Lenore,Schwerdtner,,Karl-Kaufmann-Weg,185 a,67159,Friedelsheim,Rheinland-Pfalz,06322/28924557,,06322/30395630,lenore_schwerdtner@spam-mail.none,,30.05.2004
100,Herr,,Cord,Burchert,09.03.1931,Mühltalstraße,169,28213,Bremen,Bremen,0421/15351842,0175/4836496,,c.burchert@ultramail.none,,13.01.1996
